time;sensor3_1;sensor3_2
06:00:00;13,5;13,6
06:15:00;14,5;14,7
06:30:00;14,0;14,2
06:45:00;14,7;14,6
07:00:00;14,0;15,3
07:15:00;15,5;14,9
07:30:00;14,7;15,1
07:45:00;14,6;14,9
08:00:00;15,4;15,4
08:15:00;16,0;16,2
08:30:00;14,9;15,2
08:45:00;16,4;16,0
09:00:00;15,9;16,1
09:15:00;16,6;16,8
09:30:00;16,9;17,4
09:45:00;18,4;18,3
10:00:00;17,5;18,9
10:15:00;19,7;19,6
10:30:00;20,2;19,8
10:45:00;19,7;20,5
11:00:00;21,1;20,5
11:15:00;22,9;22,1
11:30:00;22,3;22,9
11:45:00;24,5;24,8
12:00:00;22,5;22,7
12:15:00;22,2;22,4
12:30:00;22,1;22,5
12:45:00;21,8;23,8
13:00:00;23,5;23,1
13:15:00;23,2;22,2
13:30:00;22,9;23,0
13:45:00;21,0;23,0
14:00:00;22,5;22,7
14:15:00;22,5;21,1
14:30:00;21,2;22,1
14:45:00;20,2;21,3
15:00:00;21,0;21,9
15:15:00;21,9;21,1
15:30:00;21,0;21,7
15:45:00;20,5;21,0
16:00:00;19,9;21,4
16:15:00;20,3;21,6
16:30:00;20,2;19,6
16:45:00;19,1;21,2
17:00:00;19,9;19,2
17:15:00;19,8;19,0
17:30:00;18,7;19,7
17:45:00;20,0;20,5
18:00:00;20,1;20,2
18:15:00;20,0;18,6
18:30:00;18,3;18,3
18:45:00;18,8;18,2
19:00:00;18,3;19,3
19:15:00;18,5;19,4
