Order ID,Region,Country,Item Type,Order Date,Ship Date,Units Sold,Unit Price
166013562,Europe,Monaco,Clothes,10/31/2015,11/26/2015,5957,109.28
960085189,Sub-Saharan Africa,Nigeria,Beverages,1/25/2011,2/13/2011,9397,47.45
837855851,Europe,Norway,Cosmetics,11/8/2015,11/8/2015,9020,437.2
977499377,North America,Greenland,Snacks,6/24/2010,8/12/2010,2643,152.58
377502095,Middle East and North Africa,Tunisia ,Beverages,2/27/2014,3/3/2014,114,47.45
806662833,Asia,Uzbekistan,Meat,2/5/2013,3/27/2013,8313,421.89
954092919,Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,4/15/2017,5/11/2017,6152,154.06
479216182,Central America and the Caribbean,Belize,Meat,4/9/2011,4/26/2011,9572,421.89
461768949,Sub-Saharan Africa,Angola,Personal Care,12/13/2010,12/30/2010,6548,81.73
251800048,Asia,Bhutan,Meat,5/13/2014,5/22/2014,2085,421.89
619670808,Central America and the Caribbean,Honduras,Personal Care,1/16/2013,2/25/2013,3217,81.73
606055057,Sub-Saharan Africa,South Sudan,Household,12/9/2010,1/23/2011,4014,668.27
671939122,Asia,Kyrgyzstan,Baby Food,1/24/2013,2/14/2013,573,255.28
448621833,Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,2/25/2014,3/3/2014,6025,437.2
987714517,Sub-Saharan Africa,Madagascar,Fruits,7/23/2017,9/11/2017,5530,9.33
711141002,Sub-Saharan Africa,Senegal,Household,5/7/2016,6/14/2016,1280,668.27
361137616,Sub-Saharan Africa,Sierra Leone,Office Supplies,3/24/2012,4/18/2012,7501,651.21
750253188,Asia,Malaysia,Household,10/3/2011,11/21/2011,5446,668.27
511349046,Central America and the Caribbean,Cuba,Office Supplies,12/22/2014,1/2/2015,8401,651.21
147599017,Sub-Saharan Africa,Zimbabwe,Personal Care,8/23/2011,8/28/2011,6684,81.73
682489430,Europe,Serbia,Beverages,4/18/2015,5/23/2015,2644,47.45
509819114,Asia,Maldives,Vegetables,1/11/2014,2/23/2014,5660,154.06
343699395,Europe,Ireland,Office Supplies,2/27/2012,4/2/2012,7144,651.21
968554103,Europe,Romania,Clothes,4/4/2011,4/8/2011,5537,109.28
